date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:06	15674/15674	---M--	200	added ('OK')	text/html	etag:%223d3a-51da9ffb0ab00%22	http://www.model-based-enterprise.org/	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/index.html	(from )
15:46:10	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jun%202016%2007:46:10%20GMT	http://www.model-based-enterprise.org/robots.txt		(from )
15:46:14	219/219	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jun%202016%2007:46:12%20GMT	http://www.model-based-enterprise.org/css/colors/purple.css	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/css/colors/purple.1.delayed	(from http://www.model-based-enterprise.org/)
15:46:20	42590/42590	---M--	200	added ('OK')	text/css	etag:%22a65e-4f6c5a53bea00%22	http://www.model-based-enterprise.org/style.css	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/style.css	(from http://www.model-based-enterprise.org/)
15:48:16	1074/1074	---M--	200	added ('OK')	application/javascript	etag:%22432-4f6c59e706980%22	http://www.model-based-enterprise.org/js/ie.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/ie.js	(from http://www.model-based-enterprise.org/)
15:48:18	8097/8097	---M--	200	added ('OK')	application/javascript	etag:%221fa1-4f6c59edb3940%22	http://www.model-based-enterprise.org/js/jquery.easing.1.3.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.easing.1.3.js	(from http://www.model-based-enterprise.org/)
15:48:20	13578/13578	---M--	200	added ('OK')	application/javascript	etag:%22350a-4f6c59ef9bdc0%22	http://www.model-based-enterprise.org/js/jquery.polyglot.language.switcher.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.polyglot.language.switcher.js	(from http://www.model-based-enterprise.org/)
15:48:20	2473/2473	---M--	200	added ('OK')	application/javascript	etag:%229a9-4f6c59f278480%22	http://www.model-based-enterprise.org/js/tinynav.min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/tinynav.min.js	(from http://www.model-based-enterprise.org/)
15:48:21	15406/15406	---M--	200	added ('OK')	application/javascript	etag:%223c2e-4f6c59f184240%22	http://www.model-based-enterprise.org/js/modernizr.custom.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/modernizr.custom.js	(from http://www.model-based-enterprise.org/)
15:48:22	24268/24268	---M--	200	added ('OK')	application/javascript	etag:%225ecc-4f6c59e612740%22	http://www.model-based-enterprise.org/js/ddlevelsmenu.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/ddlevelsmenu.js	(from http://www.model-based-enterprise.org/)
15:48:24	16720/16720	---M--	200	added ('OK')	application/javascript	etag:%224150-4f6c59eea7b80%22	http://www.model-based-enterprise.org/js/jquery.flexslider-min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.flexslider-min.js	(from http://www.model-based-enterprise.org/)
15:48:24	15693/15693	---M--	200	added ('OK')	application/javascript	etag:%223d4d-4f6c59ef9bdc0%22	http://www.model-based-enterprise.org/js/jquery.jcarousel.min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.jcarousel.min.js	(from http://www.model-based-enterprise.org/)
15:48:25	1330/1330	---M--	200	added ('OK')	application/javascript	etag:%22532-4f6c59f090000%22	http://www.model-based-enterprise.org/js/jquery.ui.totop.min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.ui.totop.min.js	(from http://www.model-based-enterprise.org/)
15:48:28	24141/24141	---M--	200	added ('OK')	application/javascript	etag:%225e4d-4f6c59eea7b80%22	http://www.model-based-enterprise.org/js/jquery.fancybox.pack.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.fancybox.pack.js	(from http://www.model-based-enterprise.org/)
15:48:30	21601/21601	---M--	200	added ('OK')	application/javascript	etag:%225461-4f6c59f090000%22	http://www.model-based-enterprise.org/js/jquery.validate.min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.validate.min.js	(from http://www.model-based-enterprise.org/)
15:48:30	52294/52294	---M--	200	added ('OK')	application/javascript	etag:%22cc46-4f6c59ecbf700%22	http://www.model-based-enterprise.org/js/jquery.cycle.all.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery.cycle.all.js	(from http://www.model-based-enterprise.org/)
15:48:30	94839/94839	---M--	200	added ('OK')	application/javascript	etag:%2217277-4f6c59e8eee00%22	http://www.model-based-enterprise.org/js/jquery-1.7.2.min.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/js/jquery-1.7.2.min.js	(from http://www.model-based-enterprise.org/)
